,fandom,count,type,href
324,Cartoon X-overs,3400,misc,/misc/Cartoon-X-overs/
325,Xena: Warrior Princess,3300,tv,/tv/Xena-Warrior-Princess/
326,Person of Interest,3300,tv,/tv/Person-of-Interest/
327,Fringe,3300,tv,/tv/Fringe/
328,Big Hero 6,3300,movie,/movie/Big-Hero-6/
329,Aliens/Predator,3300,movie,/movie/Aliens-Predator/
330,Robin Hood BBC,3300,tv,/tv/Robin-Hood-BBC/
331,Tenchi Muyo,3200,anime,/anime/Tenchi-Muyo/
332,Metal Fight Beyblade/メタルファイト ベイブレード,3200,anime,/anime/Metal-Fight-Beyblade-%E3%83%A1%E3%82%BF%E3%83%AB%E3%83%95%E3%82%A1%E3%82%A4%E3%83%88-%E3%83%99%E3%82%A4%E3%83%96%E3%83%AC%E3%83%BC%E3%83%89/
333,Star Wars Rebels,3200,cartoon,/cartoon/Star-Wars-Rebels/
334,Star Vs. The Forces of Evil,3200,cartoon,/cartoon/Star-Vs-The-Forces-of-Evil/
335,Final Fantasy IX,3200,game,/game/Final-Fantasy-IX/
336,Spyro the Dragon,3200,game,/game/Spyro-the-Dragon/
337,Fast and the Furious,3200,movie,/movie/Fast-and-the-Furious/
338,Peter Pan,3200,book,/book/Peter-Pan/
339,Matrix,3200,movie,/movie/Matrix/
340,Maze Runner Trilogy,3200,book,/book/Maze-Runner-Trilogy/
341,Kickin\' It,3100,tv,/tv/Kickin-It/
342,Kamen Rider,3100,tv,/tv/Kamen-Rider/
343,Chicago PD,3100,tv,/tv/Chicago-PD/
344,"Stranger Things, 2016",3100,tv,/tv/Stranger-Things-2016/
345,Suite Life series,3100,tv,/tv/Suite-Life-series/
346,Skins,3100,tv,/tv/Skins/
347,Bakugan Battle Brawlers,3100,anime,/anime/Bakugan-Battle-Brawlers/
348,Silent Hill,3100,game,/game/Silent-Hill/
349,Sailor Moon X-overs,3100,misc,/misc/Sailor-Moon-X-overs/
350,Riverdale,3000,tv,/tv/Riverdale/
351,Sweeney Todd,3000,movie,/movie/Sweeney-Todd/
352,Portal,3000,game,/game/Portal/
353,M*A*S*H,3000,tv,/tv/M-A-S-H/
354,Fairly OddParents,3000,cartoon,/cartoon/Fairly-OddParents/
355,Puella Magi Madoka Magica/魔法少女まどか★マギカ,2900,anime,/anime/Puella-Magi-Madoka-Magica-%E9%AD%94%E6%B3%95%E5%B0%91%E5%A5%B3%E3%81%BE%E3%81%A9%E3%81%8B-%E3%83%9E%E3%82%AE%E3%82%AB/
356,Magi/マギ,2900,anime,/anime/Magi-%E3%83%9E%E3%82%AE/
357,That \'70s Show,2900,tv,/tv/That-70s-Show/
358,American Horror Story,2900,tv,/tv/American-Horror-Story/
359,Office,2900,tv,/tv/Office/
360,Queer as Folk,2900,tv,/tv/Queer-as-Folk/
361,Golden Sun,2900,game,/game/Golden-Sun/
362,Touhou Project,2900,game,/game/Touhou-Project/
363,Loveless,2900,anime,/anime/Loveless/
364,Mortal Kombat,2900,game,/game/Mortal-Kombat/
365,Titanic,2900,movie,/movie/Titanic/
366,Scooby Doo,2900,cartoon,/cartoon/Scooby-Doo/
367,SpongeBob SquarePants,2800,cartoon,/cartoon/SpongeBob-SquarePants/
368,Life is Strange,2800,game,/game/Life-is-Strange/
369,Magical Girl Lyrical Nanoha,2800,anime,/anime/Magical-Girl-Lyrical-Nanoha/
370,Shadowhunters,2800,tv,/tv/Shadowhunters/
371,Misc. Comics,2800,misc,/misc/Misc-Comics/
372,39 Clues,2800,book,/book/39-Clues/
373,"Alice in Wonderland, 2010",2700,movie,/movie/Alice-in-Wonderland-2010/
374,Wreck-It Ralph,2700,movie,/movie/Wreck-It-Ralph/
375,Highlander,2700,tv,/tv/Highlander/
376,Originals,2700,tv,/tv/Originals/
377,Magnificent Seven,2700,tv,/tv/Magnificent-Seven/
378,Major Crimes,2700,tv,/tv/Major-Crimes/
379,Lucifer,2700,tv,/tv/Lucifer/
380,Avengers,2700,comic,/comic/Avengers/
381,Ronin Warriors,2700,anime,/anime/Ronin-Warriors/
382,Gorillaz,2700,cartoon,/cartoon/Gorillaz/
383,Yu-Gi-Oh! ZEXAL,2700,anime,/anime/Yu-Gi-Oh-ZEXAL/
384,Spirited Away,2700,anime,/anime/Spirited-Away/
385,Jak and Daxter,2700,game,/game/Jak-and-Daxter/
386,Call of Duty,2700,game,/game/Call-of-Duty/
387,South of Nowhere,2600,tv,/tv/South-of-Nowhere/
388,X/1999,2600,anime,/anime/X-1999/
389,Demashitaa! Powerpuff Girls Z,2600,anime,/anime/Demashitaa-Powerpuff-Girls-Z/
390,Game X-overs,2600,misc,/misc/Game-X-overs/
391,Lizzie McGuire,2600,tv,/tv/Lizzie-McGuire/
392,Hannibal,2600,tv,/tv/Hannibal/
393,Final Fantasy XII,2600,game,/game/Final-Fantasy-XII/
394,Dynasty Warriors,2600,game,/game/Dynasty-Warriors/
395,Dungeons and Dragons,2600,game,/game/Dungeons-and-Dragons/
396,BoBoiBoy,2600,cartoon,/cartoon/BoBoiBoy/
397,Kagerou Days/カゲロウデイズ,2500,anime,/anime/Kagerou-Days-%E3%82%AB%E3%82%B2%E3%83%AD%E3%82%A6%E3%83%87%E3%82%A4%E3%82%BA/
398,Red vs. Blue,2500,misc,/misc/Red-vs-Blue/
399,Elsword,2500,game,/game/Elsword/
400,Professor Layton,2500,game,/game/Professor-Layton/
401,Metal Gear,2500,game,/game/Metal-Gear/
402,K,2500,anime,/anime/K/
403,JoJo\'s Bizarre Adventure,2500,anime,/anime/JoJo-s-Bizarre-Adventure/
404,Maid Sama!,2500,anime,/anime/Maid-Sama/
405,xxxHOLiC,2500,anime,/anime/xxxHOLiC/
406,24,2500,tv,/tv/24/
407,Musketeers,2500,tv,/tv/Musketeers/
408,Jurassic Park,2500,movie,/movie/Jurassic-Park/
409,Happy Tree Friends,2500,cartoon,/cartoon/Happy-Tree-Friends/
410,Gargoyles,2500,cartoon,/cartoon/Gargoyles/
411,Warehouse 13,2500,tv,/tv/Warehouse-13/
412,Lost Girl,2500,tv,/tv/Lost-Girl/
413,Storm Hawks,2400,cartoon,/cartoon/Storm-Hawks/
414,Final Fantasy XV,2400,game,/game/Final-Fantasy-XV/
415,Kirby,2400,game,/game/Kirby/
416,James Bond,2400,movie,/movie/James-Bond/
417,Gundam Wing/Sailor Moon,2400,misc,/misc/Gundam-Wing-Sailor-Moon/
